search,replace
Azure AI Foundry,Microsoft Foundry
an Microsoft,a Microsoft
#standard-deployment-in-azure-ai-foundry-resources,#standard-deployment-in-microsoft-foundry-resources
#azure-ai-foundry-project-roles,#microsoft-foundry-project-roles
#create-a-guardrail-in-azure-ai-foundry,#create-a-guardrail-in-microsoft-foundry
#prerequisite-set-up-steps-for-azure-ai-foundry-projects,#prerequisite-set-up-steps-for-microsoft-foundry-projects
#azure-ai-foundry-project-configuration-and-region-support,#microsoft-foundry-project-configuration-and-region-support
#view-traces-in-the-azure-ai-foundry-portal,#view-traces-in-the-microsoft-foundry-portal
#use-microsoft-entra-groups-with-azure-ai-foundry,#use-microsoft-entra-groups-with-microsoft-foundry
#view-and-request-quotas-in-azure-ai-foundry-portal,#view-and-request-quotas-in-microsoft-foundry-portal
#azure-reservations-for-azure-ai-foundry-provisioned-throughput,#azure-reservations-for-microsoft-foundry-provisioned-throughput
#important-sizing-azure-ai-foundry-provisioned-throughput-reservation,#important-sizing-microsoft-foundry-provisioned-throughput-reservation
