search,replace
# [Azure AI Foundry,# [Foundry
[Azure AI Foundry],[Microsoft Foundry]
[Azure AI Foundry portal],[Microsoft Foundry portal]
Azure AI Foundry Client,Microsoft Foundry Client
Azure AI Foundry client,Microsoft Foundry client
Azure AI Foundry Control Plane,Foundry Control Plane
Azure AI Foundry Tools,Foundry Tools
Azure AI Foundry NextGen,Foundry (new)
Azure AI Foundry Classic,Foundry (classic)
Azure AI Services,Foundry Tools
Azure AI Foundry Models,Foundry Models
Azure AI project,Foundry project
AI Foundry,Foundry
Microsoft Foundry Tools,Foundry Tools
