term,first_replace,subsequent_replace
Azure AI Foundry,Microsoft Foundry,Foundry
Azure AI Content Understanding,Content Understanding in Foundry Tools,Content
Azure AI Document Intelligence,Document Intelligence in Foundry Tools,Document Intelligence
Azure AI Form Recognizer,Form Recognizer in Foundry Tools,Form Recognizer   
Azure AI Foundry Agent Service,Foundry Agent Service in Foundry Tools,Agent Service
Azure AI Foundry IQ,Foundry IQ in Foundry Tools,Foundry IQ
Azure AI Foundry Models,Foundry Models in Foundry Tools,Foundry Models
Azure AI Foundry SDK,Microsoft Foundry SDK,Microsoft Foundry SDK
Azure AI Language,Language in Foundry Tools,Language
Azure AI Speech,Speech in Foundry Tools,Speech
Azure AI Translator,Translator in Foundry Tools,Translator
Azure AI Vision,Vision in Foundry Tools,Vision
